,userId,movieId,rating,timestamp
0,58,5,4.0,847719151
1,474,6,3.0,1047054565
2,263,11,4.0,941590364
3,44,12,1.0,869252043
4,6,13,3.0,845555588
5,492,14,3.0,863976101
6,559,15,3.0,845476569
7,357,16,3.5,1348610125
8,66,18,4.0,1113190353
9,45,19,4.5,1091306129
10,78,20,3.0,1252573422
11,58,21,4.0,847718718
12,226,22,2.0,1095662268
13,518,24,2.5,1056907643
14,95,25,5.0,1044744590
15,603,28,5.0,953925191
16,448,38,3.0,1019227804
17,84,55,4.0,858772543
18,7,58,3.0,1106635520
19,40,62,5.0,832059339
20,608,63,0.5,1117506926
21,456,64,3.0,856883540
22,448,65,1.0,1028111080
23,477,66,0.5,1201158662
24,156,68,2.0,946799375
25,484,69,4.5,1342300148
26,1,70,3.0,964982400
27,387,71,1.5,1150877466
28,304,73,4.0,920884193
29,474,74,3.0,974669217
30,555,75,3.0,980125866
31,337,76,5.0,860256043
32,603,77,4.0,954482106
33,32,78,4.0,856736477
34,599,79,2.0,1519336237
35,325,80,4.0,1039397611
36,414,81,2.0,961514568
37,90,82,5.0,856354212
38,214,83,3.0,853938185
39,199,85,1.0,940380890
40,6,87,3.0,845555300
41,577,88,3.0,945968259
42,217,89,4.0,955940533
43,160,93,1.0,976798624
44,219,95,1.5,1198782277
45,474,96,3.5,1053020997
46,318,97,4.5,1419694783
47,191,99,5.0,829759809
48,492,100,3.0,863976249
49,600,101,4.5,1237851915
50,492,103,3.0,863976674
51,453,104,4.0,1005967193
52,84,105,3.0,858771931
53,4,106,4.0,986848784
54,57,107,3.0,965797786
55,603,108,4.0,954482070
56,586,110,5.0,1529899907
57,288,111,3.5,1232897523
58,559,112,3.0,845476335
59,84,113,4.0,858772291
60,555,116,3.0,980124922
61,604,117,3.0,832080636
62,414,118,2.0,961439170
63,40,121,4.0,832060318
64,387,122,2.5,1094939839
65,318,123,4.5,1442351313
66,260,128,3.0,1109410370
67,290,129,2.0,974937943
68,609,137,3.0,847221054
69,456,140,4.0,856883417
70,555,141,4.0,978746874
71,215,144,4.5,1260905612
72,438,145,5.0,1105650060
73,140,146,3.0,1032259081
74,301,147,4.0,1211376829
75,191,148,5.0,829760897
76,603,149,2.0,963179615
77,176,150,4.0,840108527
78,380,152,1.0,1494036422
79,166,153,2.5,1189037942
80,315,154,4.0,939919421
81,191,155,4.0,829760897
82,181,157,2.0,845470963
83,57,158,1.0,972175275
84,58,161,4.0,847718580
85,412,162,4.0,939114868
86,132,163,2.0,1157919918
87,217,164,3.0,955943002
88,432,165,2.0,1316391524
89,182,166,1.5,1055156234
90,287,168,1.5,1110229852
91,240,169,3.0,849122896
92,136,170,4.0,832449755
93,273,171,5.0,835861068
94,274,172,2.5,1171943760
95,58,173,2.0,847718818
96,240,174,5.0,849123103
97,603,175,5.0,963180153
98,414,176,4.0,961438221
99,387,177,3.0,1179199967
100,191,178,1.0,829760898
101,6,179,1.0,845555362
102,604,183,3.0,832080615
103,603,184,4.0,963179880
104,308,185,1.0,1421374401
105,91,186,2.0,1112713723
106,555,187,5.0,978746596
107,6,189,3.0,845556241
108,405,193,3.5,1295925658
109,603,194,5.0,963179538
110,149,196,3.0,902085002
111,353,198,3.0,831940193
112,474,199,4.5,1107193580
113,6,201,3.0,845556290
114,170,203,3.0,840473265
115,411,204,3.0,835532418
116,217,205,3.0,955943259
117,474,207,1.5,1060105690
118,307,212,1.5,1186257538
119,229,213,3.0,836942246
120,84,214,4.0,858771796
121,241,215,5.0,1447536409
122,356,216,3.0,1228072586
123,6,217,3.0,845555382
124,584,218,4.0,834988194
125,6,219,3.0,845556131
126,604,220,3.0,832080636
127,305,223,4.0,1512203859
128,136,227,3.0,832449595
129,40,228,3.0,832060190
130,372,229,4.0,874416196
131,373,231,1.0,846829901
132,99,234,2.0,829828006
133,197,235,3.0,947461020
134,599,236,2.5,1498514152
135,27,238,3.0,962685525
136,476,239,3.0,835022375
137,592,240,2.0,837351074
138,607,241,4.0,964744490
139,160,242,2.0,971117781
140,6,243,3.0,845555588
141,79,246,5.0,975281661
142,132,247,3.0,1157923560
143,99,248,3.0,829828006
144,603,249,2.0,963180195
145,436,250,3.0,833530780
146,91,251,2.5,1112717660
147,310,252,2.5,1078647890
148,274,253,4.5,1171756138
149,6,254,3.0,845555655
150,429,257,4.0,828124616
151,25,260,5.0,1535470429
152,436,261,3.0,833529750
153,240,262,3.0,849123161
154,40,266,4.0,832059080
155,604,267,3.0,832081063
156,191,269,3.0,829760898
157,109,272,3.0,841108751
158,429,274,4.0,828124616
159,559,275,2.0,845476898
160,321,276,3.0,843212762
161,476,277,3.0,835021927
162,603,278,2.0,963178727
163,429,279,3.0,828124616
164,117,280,3.0,844163543
165,99,281,5.0,829828006
166,594,284,4.5,1108975148
167,604,285,4.0,832080636
168,84,287,3.0,858772239
169,58,288,3.0,847718617
170,429,289,5.0,828124616
171,178,290,3.5,1163673713
172,6,291,3.0,845555571
173,536,292,1.0,832839848
174,113,293,5.0,980051638
175,429,294,3.0,828124616
176,134,296,4.0,832840929
177,275,298,2.0,1049076725
178,84,299,5.0,858771796
179,174,300,2.0,848487060
180,603,301,4.0,954482713
181,437,302,3.0,859721556
182,592,303,3.0,837354179
183,474,306,3.5,1058792723
184,105,307,4.5,1446572181
185,603,308,4.0,963179359
186,6,310,3.0,845556119
187,604,311,3.0,832080690
188,555,314,4.0,978840250
189,36,315,0.5,1100803362
190,197,318,4.0,947462973
191,16,319,4.0,1377476675
192,603,320,3.0,953925390
193,84,321,4.0,858771861
194,603,322,4.0,963178417
195,84,326,3.0,857653794
196,158,327,4.0,1290764791
197,314,329,3.0,834398253
198,353,330,2.0,831940409
199,603,331,3.0,963180195
200,604,332,3.0,832080591
201,484,333,4.0,1342297445
202,84,334,4.0,858772079
203,536,335,3.0,832840487
204,6,336,3.0,845556223
205,559,338,3.0,845476311
206,586,339,4.0,1529901743
207,414,340,3.0,961518367
208,43,343,4.0,848994765
209,447,345,3.0,836962144
210,479,346,4.0,1039367332
211,414,348,4.0,961438199
212,391,350,2.0,1031030583
213,91,364,3.5,1112711195
214,31,377,5.0,850467368
215,294,378,1.0,966596854
216,186,379,4.0,1031080255
217,584,380,5.0,834987020
218,349,381,3.0,834751344
219,372,387,3.0,874416443
220,603,388,4.0,963179452
221,467,389,4.0,919672275
222,47,391,4.5,1496206564
223,274,393,2.0,1172030386
224,359,405,2.5,1192499687
225,84,406,3.0,860399107
226,42,408,4.0,996255745
227,307,409,2.0,1186084446
228,19,414,2.0,965706886
229,436,415,3.0,833530448
230,474,421,3.5,1121262725
231,109,422,3.0,841143258
