,userId,is_content_manager
0,1,True
1,2,False
2,3,True
3,4,True
4,5,True
5,6,True
6,7,True
7,8,True
8,9,True
9,10,False
10,11,True
11,12,False
12,13,True
13,14,False
14,15,False
15,16,True
16,17,False
17,18,True
18,19,True
19,20,True
20,21,False
21,22,False
22,23,True
23,24,False
24,25,True
25,26,False
26,27,True
27,28,True
28,29,True
29,30,False
30,31,True
31,32,True
32,33,True
33,34,True
34,35,False
35,36,True
36,37,True
37,38,False
38,39,True
39,40,True
40,41,False
41,42,True
42,43,True
43,44,True
44,45,True
45,46,False
46,47,True
47,48,False
48,49,False
49,50,True
50,51,True
51,52,False
52,53,False
53,54,False
54,55,False
55,56,False
56,57,True
57,58,True
58,59,True
59,60,False
60,61,True
61,62,True
62,63,True
63,64,True
64,65,False
65,66,True
66,67,False
67,68,True
68,69,False
69,70,False
70,71,False
71,72,False
72,73,True
73,74,True
74,75,False
75,76,False
76,77,False
77,78,True
78,79,True
79,80,True
80,81,False
81,82,True
82,83,True
83,84,True
84,85,True
85,86,False
86,87,False
87,88,False
88,89,True
89,90,True
90,91,True
91,92,False
92,93,True
93,94,False
94,95,True
95,96,False
96,97,False
97,98,False
98,99,True
99,100,True
100,101,False
101,102,False
102,103,True
103,104,True
104,105,True
105,106,False
106,107,False
107,108,True
108,109,True
109,110,False
110,111,True
111,112,False
112,113,True
113,114,False
114,115,False
115,116,False
116,117,True
117,118,False
118,119,False
119,120,True
120,121,False
121,122,True
122,123,False
123,124,False
124,125,True
125,126,False
126,127,False
127,128,False
128,129,False
129,130,False
130,131,False
131,132,True
132,133,True
133,134,True
134,135,True
135,136,True
136,137,True
137,138,False
138,139,True
139,140,True
140,141,False
141,142,False
142,143,True
143,144,False
144,145,False
145,146,False
146,147,False
147,148,False
148,149,True
149,150,False
150,151,True
151,152,False
152,153,True
153,154,False
154,155,False
155,156,True
156,157,False
157,158,True
158,159,False
159,160,True
160,161,True
161,162,False
162,163,False
163,164,False
164,165,False
165,166,True
166,167,False
167,168,False
168,169,True
169,170,True
170,171,True
171,172,False
172,173,False
173,174,True
174,175,True
175,176,True
176,177,True
177,178,True
178,179,False
179,180,False
180,181,True
181,182,True
182,183,True
183,184,False
184,185,True
185,186,True
186,187,True
187,188,True
188,189,False
189,190,True
190,191,True
191,192,False
192,193,False
193,194,False
194,195,True
195,196,False
196,197,True
197,198,True
198,199,True
199,200,True
200,201,True
201,202,True
202,203,False
203,204,False
204,205,False
205,206,False
206,207,False
207,208,False
208,209,False
209,210,True
210,211,False
211,212,True
212,213,True
213,214,True
214,215,True
215,216,True
216,217,True
217,218,False
218,219,True
219,220,False
220,221,True
221,222,True
222,223,False
223,224,False
224,225,True
225,226,True
226,227,False
227,228,False
228,229,True
229,230,False
230,231,False
231,232,True
232,233,False
233,234,True
234,235,False
235,236,False
236,237,False
237,238,True
238,239,True
239,240,True
240,241,True
241,242,False
242,243,False
243,244,False
244,245,False
245,246,True
246,247,False
247,248,False
248,249,True
249,250,True
250,251,False
251,252,False
252,253,True
253,254,False
254,255,True
255,256,False
256,257,True
257,258,False
258,259,False
259,260,True
260,261,False
261,262,False
262,263,True
263,264,False
264,265,True
265,266,True
266,267,False
267,268,True
268,269,True
269,270,False
270,271,False
271,272,False
272,273,True
273,274,True
274,275,True
275,276,True
276,277,True
277,278,True
278,279,False
279,280,False
280,281,False
281,282,False
282,283,False
283,284,True
284,285,False
285,286,False
286,287,True
287,288,True
288,289,False
289,290,True
290,291,False
291,292,True
292,293,False
293,294,True
294,295,False
295,296,False
296,297,True
297,298,True
298,299,False
299,300,False
300,301,True
301,302,False
302,303,False
303,304,True
304,305,True
305,306,False
306,307,True
307,308,True
308,309,True
309,310,True
310,311,False
311,312,True
312,313,True
313,314,True
314,315,True
315,316,False
316,317,False
317,318,True
318,319,False
319,320,False
320,321,True
321,322,True
322,323,True
323,324,False
324,325,True
325,326,False
326,327,False
327,328,True
328,329,False
329,330,True
330,331,True
331,332,True
332,333,False
333,334,True
334,335,False
335,336,False
336,337,True
337,338,False
338,339,True
339,340,False
340,341,False
341,342,True
342,343,False
343,344,False
344,345,False
345,346,True
346,347,False
347,348,True
348,349,True
349,350,False
350,351,False
351,352,False
352,353,True
353,354,True
354,355,False
355,356,True
356,357,True
357,358,True
358,359,True
359,360,False
360,361,False
361,362,False
362,363,False
363,364,False
364,365,True
365,366,False
366,367,True
367,368,True
368,369,True
369,370,False
370,371,False
371,372,True
372,373,True
373,374,False
374,375,False
375,376,False
376,377,True
377,378,False
378,379,False
379,380,True
380,381,True
381,382,True
382,383,True
383,384,False
384,385,False
385,386,True
386,387,True
387,388,False
388,389,True
389,390,True
390,391,True
391,392,False
392,393,False
393,394,False
394,395,True
395,396,False
396,397,True
397,398,True
398,399,False
399,400,False
400,401,True
401,402,True
402,403,False
403,404,False
404,405,True
405,406,False
406,407,False
407,408,False
408,409,True
409,410,True
410,411,True
411,412,True
412,413,False
413,414,True
414,415,False
415,416,False
416,417,False
417,418,False
418,419,True
419,420,False
420,421,True
421,422,True
422,423,False
423,424,False
424,425,True
425,426,False
426,427,False
427,428,True
428,429,True
429,430,False
430,431,False
431,432,True
432,433,False
433,434,False
434,435,False
435,436,True
436,437,True
437,438,True
438,439,False
439,440,False
440,441,False
441,442,False
442,443,False
443,444,False
444,445,False
445,446,False
446,447,True
447,448,True
448,449,False
449,450,False
450,451,True
451,452,True
452,453,True
453,454,False
454,455,False
455,456,True
456,457,False
457,458,False
458,459,False
459,460,True
460,461,False
461,462,True
462,463,False
463,464,False
464,465,True
465,466,True
466,467,True
467,468,False
468,469,True
469,470,True
470,471,False
471,472,False
472,473,False
473,474,True
474,475,False
475,476,True
476,477,True
477,478,False
478,479,True
479,480,True
480,481,True
481,482,True
482,483,True
483,484,True
484,485,False
485,486,False
486,487,False
487,488,True
488,489,True
489,490,False
490,491,False
491,492,True
492,493,False
493,494,False
494,495,True
495,496,False
496,497,False
497,498,False
498,499,False
499,500,True
500,501,True
501,502,False
502,503,False
503,504,False
504,505,False
505,507,False
506,508,True
507,509,True
508,510,False
509,511,True
510,512,False
511,513,True
512,514,True
513,515,False
514,516,False
515,517,False
516,518,True
517,519,False
518,520,True
519,521,False
520,522,False
521,523,True
522,524,True
523,525,True
524,526,False
525,527,True
526,528,False
527,529,False
528,530,False
529,531,False
530,532,False
531,533,False
