userId,movieId,rating
1,6,4.0
1,70,3.0
1,101,5.0
1,110,4.0
1,157,5.0
1,163,5.0
1,216,5.0
1,223,3.0
1,231,5.0
1,235,4.0
1,260,5.0
1,296,3.0
1,333,5.0
1,423,3.0
1,441,4.0
1,480,4.0
1,500,3.0
1,527,5.0
1,552,4.0
1,553,5.0
1,590,4.0
1,592,4.0
1,593,4.0
1,596,5.0
1,608,5.0
1,648,3.0
1,661,5.0
1,673,3.0
1,780,3.0
1,804,4.0
1,919,5.0
1,923,5.0
1,940,5.0
1,943,4.0
1,954,5.0
1,1024,5.0
1,1049,5.0
1,1073,5.0
1,1089,5.0
1,1090,4.0
1,1092,5.0
1,1213,5.0
1,1265,4.0
1,1278,5.0
1,1282,5.0
1,1377,3.0
1,1396,3.0
1,1408,3.0
1,1552,4.0
1,1573,5.0
1,1580,3.0
1,1587,5.0
1,1620,4.0
1,1644,3.0
1,1777,4.0
1,1927,5.0
1,1954,5.0
1,1967,4.0
1,2000,4.0
1,2005,5.0
1,2018,5.0
1,2028,4.0
1,2033,5.0
1,2046,4.0
1,2048,5.0
1,2054,4.0
1,2058,5.0
1,2099,4.0
1,2105,4.0
1,2116,5.0
1,2161,5.0
1,2193,4.0
1,2253,2.0
1,2268,4.0
1,2291,5.0
1,2395,5.0
1,2470,5.0
1,2502,5.0
1,2528,3.0
1,2616,4.0
1,2617,2.0
1,2640,4.0
1,2654,5.0
1,2657,3.0
1,2761,5.0
1,2899,5.0
1,2959,5.0
1,3033,5.0
1,3034,5.0
1,3053,5.0
1,3062,4.0
1,3176,1.0
2,318,3.0
2,333,4.0
3,527,0.5
3,647,0.5
3,688,0.5
3,849,5.0
3,914,0.5
3,1093,0.5
3,1124,0.5
3,1272,0.5
3,1371,3.0
3,1587,4.5
3,2018,0.5
3,2080,0.5
3,2105,2.0
3,2288,4.0
3,4518,5.0
3,5919,5.0
4,21,3.0
4,58,3.0
4,106,4.0
4,162,5.0
4,171,3.0
4,176,5.0
4,215,5.0
4,235,2.0
4,247,3.0
4,260,5.0
4,296,1.0
4,319,5.0
4,345,4.0
4,348,4.0
4,441,1.0
4,475,5.0
4,492,5.0
4,509,1.0
4,553,2.0
4,588,4.0
4,593,5.0
4,595,3.0
4,599,2.0
4,608,5.0
4,648,3.0
4,708,4.0
4,759,3.0
4,800,4.0
4,892,4.0
4,898,5.0
4,902,4.0
4,910,5.0
4,912,5.0
4,914,5.0
4,919,5.0
4,920,5.0
4,1073,4.0
4,1103,5.0
4,1213,4.0
4,1250,5.0
4,1259,4.0
4,1265,4.0
4,1266,4.0
4,1282,5.0
4,1391,1.0
4,1580,3.0
4,1597,1.0
4,1641,4.0
4,1734,3.0
4,1883,4.0
4,1892,2.0
4,1895,4.0
4,1907,3.0
4,1923,3.0
4,1947,5.0
4,1966,2.0
4,1967,5.0
4,1968,4.0
4,2019,2.0
4,2109,4.0
